QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,RECRUIT STATUS,PLAYER URL
Julian Sayin,2024,98,5,6-1,214.0,QB,California,Carlsbad,Carlsbad,11/02/2022,3,20,1,24096,Enrolled,https://247sports.com/player/julian-sayin-46102486/
DJ Lagway,2024,100,5,6-3,247.0,QB,Texas,Willis,Willis,12/07/2022,1,3,1,24099,Enrolled,https://247sports.com/player/dj-lagway-46111820/
Dylan Raiola,2024,99,5,6-3,232.0,QB,Georgia,Buford,Buford,,2,7,1,24025,Enrolled,https://247sports.com/player/dylan-raiola-46116332/
Air Noland,2024,96,4,6-2,214.0,QB,Georgia,Fairburn,Langston Hughes,04/08/2023,7,61,9,24046,Enrolled,https://247sports.com/player/air-noland-46102927/
Luke Kromenhoek,2024,97,4,6-4,220.0,QB,Georgia,Savannah,Benedictine Military School,,4,35,5,24010,Enrolled,https://247sports.com/player/luke-kromenhoek-46116580/
CJ Carr,2024,97,4,6-2,215.0,QB,Michigan,Saline,Saline,06/09/2022,6,45,1,24064,Enrolled,https://247sports.com/player/cj-carr-46103482/
Ethan Grunkemeyer,2024,95,4,6-2,208.0,QB,Ohio,Lewis Center,Olentangy,,8,103,3,24047,Enrolled,https://247sports.com/player/ethan-grunkemeyer-46116115/
Walker White,2024,97,4,6-4,230.0,QB,Arkansas,Little Rock,Little Rock Christian Academy,,5,41,1,24098,Enrolled,https://247sports.com/player/walker-white-46117707/
Jadyn Davis,2024,94,4,6-1,207.0,QB,North Carolina,Charlotte,Providence Day School,03/31/2023,9,115,5,24042,Enrolled,https://247sports.com/player/jadyn-davis-46085247/
Ryan Puglisi,2024,94,4,6-3,210.0,QB,Connecticut,Avon,Avon Old Farms,,10,143,2,24100,Enrolled,https://247sports.com/player/ryan-puglisi-46117072/
Jake Merklinger,2024,92,4,6-3,215.0,QB,Georgia,Savannah,Calvary Day School,03/30/2023,13,215,26,24106,Enrolled,https://247sports.com/player/jake-merklinger-46117375/
Demond Williams Jr.,2024,90,4,5-11,191.0,QB,Arizona,Chandler,Basha,,19,294,4,24087,Enrolled,https://247sports.com/player/demond-williams-jr-46110534/
Will Hammond,2024,91,4,6-2,210.0,QB,Texas,Hutto,Hutto,,14,228,38,24030,Enrolled,https://247sports.com/player/will-hammond-46134333/
Tyler Cherry,2024,90,4,6-5,219.0,QB,Indiana,Greenwood,Center Grove,,18,293,6,24040,Enrolled,https://247sports.com/player/tyler-cherry-46138690/
Michael Van Buren Jr.,2024,89,3,6-0,195.0,QB,Maryland,Baltimore,St. Frances Academy,05/20/2023,27,406,14,24104,Enrolled,https://247sports.com/player/michael-van-buren-jr-46127549/
Elijah Brown,2024,92,4,6-2,205.0,QB,California,Santa Ana,Mater Dei,,11,196,14,24092,Enrolled,https://247sports.com/player/elijah-brown-46114977/
Dermaricus Davis,2024,90,4,6-4,200.0,QB,California,Rancho Cucamonga,Etiwanda,,17,292,22,24094,Enrolled,https://247sports.com/player/dermaricus-davis-46113741/
Isaac Wilson,2024,90,4,6-0,210.0,QB,Utah,Draper,Corner Canyon,,21,353,3,24085,Enrolled,https://247sports.com/player/isaac-wilson-46114122/
Hauss Hejny,2024,92,4,6-0,206.0,QB,Texas,Aledo,Aledo,,12,204,32,24083,Enrolled,https://247sports.com/player/hauss-hejny-46113814/
Michael Hawkins Jr.,2024,88,3,6-1,203.0,QB,Texas,McKinney,Frisco Emerson,04/08/2023,35,576,82,24026,Enrolled,https://247sports.com/player/michael-hawkins-jr-46116154/
Trey Owens,2024,90,4,6-5,219.0,QB,Texas,Cypress,Cy-Fair,,16,291,47,24028,Enrolled,https://247sports.com/player/trey-owens-46117790/
Miles O'Neill,2024,87,3,6-5,220.0,QB,Massachusetts,Marblehead,Hun School,,45,887,15,24029,Enrolled,https://247sports.com/player/miles-oneill-46141335/
AJ Maddox,2024,89,3,6-1,190.0,QB,Mississippi,Hattiesburg,Oak Grove,02/06/2023,26,405,14,24103,Enrolled,https://247sports.com/player/aj-maddox-46133847/
Cutter Boley,2024,88,3,6-5,213.0,QB,Kentucky,Lexington,Lexington Christian Academy,05/18/2023,38,579,4,24101,Enrolled,https://247sports.com/player/cutter-boley-46125804/
Colin Hurley,2024,90,4,6-1,218.0,QB,Florida,Jacksonville,Trinity Christian Academy,,22,354,42,24102,Enrolled,https://247sports.com/player/colin-hurley-46113658/
Trever Jackson,2024,88,3,6-3,202.0,QB,Florida,Orlando,Jones,08/26/2023,43,769,89,24010,Enrolled,https://247sports.com/player/trever-jackson-46132327/
Marcos Davila,2024,90,4,6-2,235.0,QB,Texas,Midland,Midland Legacy,,20,299,48,24048,Enrolled,https://247sports.com/player/marcos-davila-46102317/
AJ Surace,2024,89,3,6-2,212.0,QB,New Jersey,Lawrenceville,Notre Dame,,29,410,4,24035,Enrolled,https://247sports.com/player/aj-surace-46131426/
CJ Bailey,2024,89,3,6-6,210.0,QB,Florida,Hollywood,Chaminade-Madonna,,24,401,51,24015,Enrolled,https://247sports.com/player/cj-bailey-46117041/
KJ Jackson,2024,90,4,6-4,225.0,QB,Alabama,Montgomery,St James School,04/09/2023,15,276,21,24097,Enrolled,https://247sports.com/player/kj-jackson-46112898/
Mabrey Mettauer,2024,87,3,6-5,225.0,QB,Texas,The Woodlands,The Woodlands,12/24/2022,52,1004,148,24049,Enrolled,https://247sports.com/player/mabrey-mettauer-46110460/
Samaj Jones,2024,88,3,5-11,207.0,QB,Pennsylvania,Philadelphia,St. Joseph's Prep,,39,580,7,24031,Enrolled,https://247sports.com/player/samaj-jones-46111572/
Dante Reno,2024,88,3,6-2,205.0,QB,Connecticut,Cheshire,Cheshire Academy,07/02/2022,36,577,5,24105,Enrolled,https://247sports.com/player/dante-reno-46103314/
Luke Moga,2024,86,3,6-2,204.0,QB,Arizona,Phoenix,Sunnyslope,,61,1245,20,24090,Enrolled,https://247sports.com/player/luke-moga-46134421/
Maealiuaki Smith,2024,,0,6-3,205.0,QB,California,San Mateo,Junipero Serra,,,,,24027,Enrolled,https://247sports.com/player/maealiuaki-smith-46102659/
Blake Barnett,2024,86,3,6-1,220.0,QB,Colorado,Erie,Erie,,67,1252,6,24023,Enrolled,https://247sports.com/player/blake-barnett-46129375/
Isaiah Marshall,2024,89,3,6-0,215.0,QB,Michigan,Southfield,Southfield,,31,414,9,24022,Enrolled,https://247sports.com/player/isaiah-marshall-46098547/
EJ Colson,2024,86,3,6-1,190.0,QB,Georgia,Ellenwood,Cedar Grove,07/06/2023,64,1248,126,24060,Enrolled,https://247sports.com/player/ej-colson-46116827/
Deuce Adams,2024,88,3,6-2,204.0,QB,Texas,Austin,Austin Vandegrift,04/05/2023,34,575,81,24033,Enrolled,https://247sports.com/player/deuce-adams-46129461/
Aidan Glover,2024,,0,6-3,205.0,QB,Tennessee,Collierville,Collierville,,,,,24024,Enrolled,https://247sports.com/player/aidan-glover-46131125/
Jeremy Hecklinski,2024,89,3,5-11,188.0,QB,Georgia,Marietta,Walton,,25,402,42,24018,Enrolled,https://247sports.com/player/jeremy-hecklinski-46134926/
Jakhari Williams,2024,,0,6-2,210.0,QB,Georgia,Macon,First Presbyterian Day,,,,,24037,Enrolled,https://247sports.com/player/jakhari-williams-46130611/
Jeremy St-Hilaire,2024,87,3,6-4,220.0,QB,Tennessee,Chattanooga,McCallie School,,44,828,27,24107,Enrolled,https://247sports.com/player/jeremy-st-hilaire-46137690/
Graham Knowles,2024,87,3,6-7,230.0,QB,Texas,Southlake,Southlake Carroll,,46,925,129,24011,Enrolled,https://247sports.com/player/graham-knowles-46139017/
Danny O'Neil,2024,88,3,6-0,197.0,QB,Indiana,Indianapolis,Cathedral,,40,581,10,24082,Enrolled,https://247sports.com/player/danny-oneil-46102444/
Judd Anderson,2024,87,3,6-7,230.0,QB,Georgia,Warner Robins,Warner Robins,,53,1066,116,24013,Enrolled,https://247sports.com/player/judd-anderson-46117276/
Daniel Kaelin,2024,89,3,6-3,220.0,QB,Nebraska,Bellevue,Bellevue West,,28,409,4,24025,Enrolled,https://247sports.com/player/daniel-kaelin-46103285/
EJ Caminong,2024,89,3,6-2,215.0,QB,Washington,Seattle,Garfield,,30,411,10,24089,Enrolled,https://247sports.com/player/ej-caminong-46118422/
Josh Flowers,2024,86,3,6-3,205.0,QB,Alabama,Mobile,Baker,,55,1140,52,24108,Enrolled,https://247sports.com/player/josh-flowers-46128291/
Trey Petty,2024,86,3,6-0,205.0,QB,Mississippi,Starkville,Starkville,,60,1201,28,24039,Enrolled,https://247sports.com/player/trey-petty-46116941/
Riley Trujillo,2024,87,3,6-4,215.0,QB,Florida,Jacksonville,Bartram Trail,,50,929,109,24060,Enrolled,https://247sports.com/player/riley-trujillo-46129690/
Brendan Zurbrugg,2024,86,3,6-3,199.0,QB,Ohio,Alliance,Alliance,,66,1251,45,24026,Enrolled,https://247sports.com/player/brendan-zurbrugg-46129762/
Alessio Milivojevic,2024,88,3,6-2,218.0,QB,Illinois,Wheaton,St. Francis,,41,724,22,24043,Enrolled,https://247sports.com/player/alessio-milivojevic-46132996/
Aaron Philo,2024,87,3,6-1,208.0,QB,Georgia,Bogart,Prince Avenue Christian School,,47,926,97,24011,Enrolled,https://247sports.com/player/aaron-philo-46131230/
Drake Lindsey,2024,89,3,6-5,230.0,QB,Arkansas,Fayetteville,Fayetteville,,23,400,6,24044,Enrolled,https://247sports.com/player/drake-lindsey-46132999/
Ty Keyes,2024,,0,6-2,225.0,QB,Mississippi,Taylorsville,Taylorsville,,,,,24121,Enrolled,https://247sports.com/player/ty-keyes-46050925/
Jayden Bradford,2024,86,3,6-0,195.0,QB,Florida,Bradenton,IMG Academy,,59,1177,131,24138,Enrolled,https://247sports.com/player/jayden-bradford-46115464/
Julian Dugger,2024,86,3,6-3,207.0,QB,Pennsylvania,Pittsburgh,Penn Hills,,63,1247,27,24034,Enrolled,https://247sports.com/player/julian-dugger-46116846/
Tim Carpenter,2024,88,3,6-3,235.0,QB,Ohio,Dayton,Trotwood-Madison,,37,578,22,24058,Enrolled,https://247sports.com/player/tim-carpenter-46129789/
Whit Muschamp,2024,86,3,6-1,195.0,QB,Tennessee,Chattanooga,Baylor School,,57,1164,36,24107,Enrolled,https://247sports.com/player/whit-muschamp-46103172/
Michael Merdinger,2024,86,3,6-1,205.0,QB,Florida,Fort Lauderdale,Cardinal Gibbons,,71,1412,155,24014,Enrolled,https://247sports.com/player/michael-merdinger-46118318/
Tyler Aronson,2024,84,3,6-3,220.0,QB,Florida,Vero Beach,Vero Beach,,97,1910,223,24055,Enrolled,https://247sports.com/player/tyler-aronson-46109945/
Connor Moberly,2024,86,3,6-4,220.0,QB,Iowa,Des Moines,Southeast Polk,,68,1325,13,24021,Enrolled,https://247sports.com/player/connor-moberly-46135628/
