QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Julian Sayin,2024,98,5,1-Jun,214,QB,California,Carlsbad,Carlsbad,11/2/2022,3,20,1,24096,Alabama,Enrolled,https://247sports.com/player/julian-sayin-46102486/,,,,,,,,1717.9,1970.7
DJ Lagway,2024,100,5,3-Jun,247,QB,Texas,Willis,Willis,12/7/2022,1,3,1,24099,Florida,Enrolled,https://247sports.com/player/dj-lagway-46111820/,Kasen Covert,Kasen Covert,Kasen Covert,Kasen Covert,Kasen Covert,Kasen Covert,Kasen Covert,786.4,864.3
Dylan Raiola,2024,99,5,3-Jun,232,QB,Georgia,Buford,Buford,,2,7,1,24025,Nebraska,Enrolled,https://247sports.com/player/dylan-raiola-46116332/,Brayden Turner,Brayden Turner,Brayden Turner,Brayden Turner,Brayden Turner,Brayden Turner,Brayden Turner,833.7,1023.1
Air Noland,2024,96,4,2-Jun,214,QB,Georgia,Fairburn,Langston Hughes,4/8/2023,7,61,9,24046,Ohio State,Enrolled,https://247sports.com/player/air-noland-46102927/,Kaleb Bailey,Kaleb Bailey,Kaleb Bailey,Kaleb Bailey,Kaleb Bailey,Kaleb Bailey,Kaleb Bailey,453.1,575.3
Luke Kromenhoek,2024,97,4,4-Jun,220,QB,Georgia,Savannah,Benedictine Military School,,4,35,5,24010,Florida State,Enrolled,https://247sports.com/player/luke-kromenhoek-46116580/,Jackson Firmin,Jackson Firmin,Jackson Firmin,Jackson Firmin,Jackson Firmin,Jackson Firmin,Jackson Firmin,220.5,301
CJ Carr,2024,97,4,2-Jun,215,QB,Michigan,Saline,Saline,6/9/2022,6,45,1,24064,Notre Dame,Enrolled,https://247sports.com/player/cj-carr-46103482/,,,,,,,,130.2,140.4
Ethan Grunkemeyer,2024,95,4,2-Jun,208,QB,Ohio,Lewis Center,Olentangy,,8,103,3,24047,Penn State,Enrolled,https://247sports.com/player/ethan-grunkemeyer-46116115/,,,,,,,,273.3,325.6
Walker White,2024,97,4,4-Jun,230,QB,Arkansas,Little Rock,Little Rock Christian Academy,,5,41,1,24098,Auburn,Enrolled,https://247sports.com/player/walker-white-46117707/,,,,,,,,417.9,483.2
Jadyn Davis,2024,94,4,1-Jun,207,QB,North Carolina,Charlotte,Providence Day School,3/31/2023,9,115,5,24042,Michigan,Enrolled,https://247sports.com/player/jadyn-davis-46085247/,,,,,,,,512,617.6
Ryan Puglisi,2024,94,4,3-Jun,210,QB,Connecticut,Avon,Avon Old Farms,,10,143,2,24100,Georgia,Enrolled,https://247sports.com/player/ryan-puglisi-46117072/,,,,,,,,790.2,957.1
Jake Merklinger,2024,92,4,3-Jun,215,QB,Georgia,Savannah,Calvary Day School,3/30/2023,13,215,26,24106,Tennessee,Enrolled,https://247sports.com/player/jake-merklinger-46117375/,,,,,,,,313.1,417.1
Demond Williams Jr.,2024,90,4,11-May,191,QB,Arizona,Chandler,Basha,,19,294,4,24087,Arizona,Enrolled,https://247sports.com/player/demond-williams-jr-46110534/,,,,,,,,90.2,96.6
Will Hammond,2024,91,4,2-Jun,210,QB,Texas,Hutto,Hutto,,14,228,38,24030,Texas Tech,Enrolled,https://247sports.com/player/will-hammond-46134333/,,,,,,,,330.7,368.8
Tyler Cherry,2024,90,4,5-Jun,219,QB,Indiana,Greenwood,Center Grove,,18,293,6,24040,Indiana,Enrolled,https://247sports.com/player/tyler-cherry-46138690/,,,,,,,,36.8,44.5
Michael Van Buren Jr.,2024,89,3,Jun-00,195,QB,Maryland,Baltimore,St. Frances Academy,5/20/2023,27,406,14,24104,Mississippi State,Enrolled,https://247sports.com/player/michael-van-buren-jr-46127549/,,,,,,,,783.8,916.7
Elijah Brown,2024,92,4,2-Jun,205,QB,California,Santa Ana,Mater Dei,,11,196,14,24092,Stanford,Enrolled,https://247sports.com/player/elijah-brown-46114977/,,,,,,,,350.6,390.3
Dermaricus Davis,2024,90,4,4-Jun,200,QB,California,Rancho Cucamonga,Etiwanda,,17,292,22,24094,Washington,Enrolled,https://247sports.com/player/dermaricus-davis-46113741/,,,,,,,,967.9,1175.7
Isaac Wilson,2024,90,4,Jun-00,210,QB,Utah,Draper,Corner Canyon,,21,353,3,24085,Utah,Enrolled,https://247sports.com/player/isaac-wilson-46114122/,,,,,,,,16.5,20.6
Hauss Hejny,2024,92,4,Jun-00,206,QB,Texas,Aledo,Aledo,,12,204,32,24083,TCU,Enrolled,https://247sports.com/player/hauss-hejny-46113814/,,,,,,,,14.1,18.4
Michael Hawkins Jr.,2024,88,3,1-Jun,203,QB,Texas,McKinney,Frisco Emerson,4/8/2023,35,576,82,24026,Oklahoma,Enrolled,https://247sports.com/player/michael-hawkins-jr-46116154/,,,,,,,,146,183.5
Trey Owens,2024,90,4,5-Jun,219,QB,Texas,Cypress,Cy-Fair,,16,291,47,24028,Texas,Enrolled,https://247sports.com/player/trey-owens-46117790/,,,,,,,,123.7,134.4
Miles O'Neill,2024,87,3,5-Jun,220,QB,Massachusetts,Marblehead,Hun School,,45,887,15,24029,Texas A&M,Enrolled,https://247sports.com/player/miles-oneill-46141335/,,,,,,,,1626.7,1886.8
AJ Maddox,2024,89,3,1-Jun,190,QB,Mississippi,Hattiesburg,Oak Grove,2/6/2023,26,405,14,24103,Ole Miss,Enrolled,https://247sports.com/player/aj-maddox-46133847/,,,,,,,,210.4,250
Cutter Boley,2024,88,3,5-Jun,213,QB,Kentucky,Lexington,Lexington Christian Academy,5/18/2023,38,579,4,24101,Kentucky,Enrolled,https://247sports.com/player/cutter-boley-46125804/,,,,,,,,1.4,2
Colin Hurley,2024,90,4,1-Jun,218,QB,Florida,Jacksonville,Trinity Christian Academy,,22,354,42,24102,LSU,Enrolled,https://247sports.com/player/colin-hurley-46113658/,,,,,,,,567.8,604.1
Trever Jackson,2024,88,3,3-Jun,202,QB,Florida,Orlando,Jones,8/26/2023,43,769,89,24010,Florida State,Enrolled,https://247sports.com/player/trever-jackson-46132327/,,,,,,,,219.2,257.7
Marcos Davila,2024,90,4,2-Jun,235,QB,Texas,Midland,Midland Legacy,,20,299,48,24048,Purdue,Enrolled,https://247sports.com/player/marcos-davila-46102317/,,,,,,,,1027.7,1206.6
AJ Surace,2024,89,3,2-Jun,212,QB,New Jersey,Lawrenceville,Notre Dame,,29,410,4,24035,Rutgers,Enrolled,https://247sports.com/player/aj-surace-46131426/,,,,,,,,20.9,28.7
CJ Bailey,2024,89,3,6-Jun,210,QB,Florida,Hollywood,Chaminade-Madonna,,24,401,51,24015,NC State,Enrolled,https://247sports.com/player/cj-bailey-46117041/,,,,,,,,680,782.3
KJ Jackson,2024,90,4,4-Jun,225,QB,Alabama,Montgomery,St James School,4/9/2023,15,276,21,24097,Arkansas,Enrolled,https://247sports.com/player/kj-jackson-46112898/,,,,,,,,517.1,643.5
Mabrey Mettauer,2024,87,3,5-Jun,225,QB,Texas,The Woodlands,The Woodlands,12/24/2022,52,1004,148,24049,Wisconsin,Enrolled,https://247sports.com/player/mabrey-mettauer-46110460/,,,,,,,,952.6,1131
Samaj Jones,2024,88,3,11-May,207,QB,Pennsylvania,Philadelphia,St. Joseph's Prep,,39,580,7,24031,Cincinnati,Enrolled,https://247sports.com/player/samaj-jones-46111572/,,,,,,,,501.6,572.9
Dante Reno,2024,88,3,2-Jun,205,QB,Connecticut,Cheshire,Cheshire Academy,7/2/2022,36,577,5,24105,South Carolina,Enrolled,https://247sports.com/player/dante-reno-46103314/,,,,,,,,682,800.4
Luke Moga,2024,86,3,2-Jun,204,QB,Arizona,Phoenix,Sunnyslope,,61,1245,20,24090,Oregon,Enrolled,https://247sports.com/player/luke-moga-46134421/,,,,,,,,940.1,1225.8
Maealiuaki Smith,2024,,0,3-Jun,205,QB,California,San Mateo,Junipero Serra,,,,,24027,Oklahoma State,Enrolled,https://247sports.com/player/maealiuaki-smith-46102659/,,,,,,,,1395.4,1673.6
Blake Barnett,2024,86,3,1-Jun,220,QB,Colorado,Erie,Erie,,67,1252,6,24023,Kansas State,Enrolled,https://247sports.com/player/blake-barnett-46129375/,,,,,,,,453.8,513.1
Isaiah Marshall,2024,89,3,Jun-00,215,QB,Michigan,Southfield,Southfield,,31,414,9,24022,Kansas,Enrolled,https://247sports.com/player/isaiah-marshall-46098547/,,,,,,,,675.1,801.7
EJ Colson,2024,86,3,1-Jun,190,QB,Georgia,Ellenwood,Cedar Grove,7/6/2023,64,1248,126,24060,UCF,Enrolled,https://247sports.com/player/ej-colson-46116827/,,,,,,,,391.5,438.6
Deuce Adams,2024,88,3,2-Jun,204,QB,Texas,Austin,Austin Vandegrift,4/5/2023,34,575,81,24033,Louisville,Enrolled,https://247sports.com/player/deuce-adams-46129461/,,,,,,,,876.1,1027.6
Aidan Glover,2024,,0,3-Jun,205,QB,Tennessee,Collierville,Collierville,,,,,24024,Missouri,Enrolled,https://247sports.com/player/aidan-glover-46131125/,,,,,,,,306.6,423.7
Jeremy Hecklinski,2024,89,3,11-May,188,QB,Georgia,Marietta,Walton,,25,402,42,24018,Wake Forest,Enrolled,https://247sports.com/player/jeremy-hecklinski-46134926/,,,,,,,,284.8,329.4
Jakhari Williams,2024,,0,2-Jun,210,QB,Georgia,Macon,First Presbyterian Day,,,,,24037,Syracuse,Enrolled,https://247sports.com/player/jakhari-williams-46130611/,,,,,,,,812.9,1008.8
Jeremy St-Hilaire,2024,87,3,4-Jun,220,QB,Tennessee,Chattanooga,McCallie School,,44,828,27,24107,Vanderbilt,Enrolled,https://247sports.com/player/jeremy-st-hilaire-46137690/,,,,,,,,113.1,134.6
Graham Knowles,2024,87,3,7-Jun,230,QB,Texas,Southlake,Southlake Carroll,,46,925,129,24011,Georgia Tech,Enrolled,https://247sports.com/player/graham-knowles-46139017/,,,,,,,,736.8,809.3
Danny O'Neil,2024,88,3,Jun-00,197,QB,Indiana,Indianapolis,Cathedral,,40,581,10,24082,San Diego State,Enrolled,https://247sports.com/player/danny-oneil-46102444/,,,,,,,,1778.7,2085.2
Judd Anderson,2024,87,3,7-Jun,230,QB,Georgia,Warner Robins,Warner Robins,,53,1066,116,24013,Miami,Enrolled,https://247sports.com/player/judd-anderson-46117276/,,,,,,,,517.4,580.2
Daniel Kaelin,2024,89,3,3-Jun,220,QB,Nebraska,Bellevue,Bellevue West,,28,409,4,24025,Nebraska,Enrolled,https://247sports.com/player/daniel-kaelin-46103285/,,,,,,,,45.7,51.9
EJ Caminong,2024,89,3,2-Jun,215,QB,Washington,Seattle,Garfield,,30,411,10,24089,California,Enrolled,https://247sports.com/player/ej-caminong-46118422/,,,,,,,,672.2,799.6
Josh Flowers,2024,86,3,3-Jun,205,QB,Alabama,Mobile,Baker,,55,1140,52,24108,Arkansas State,Enrolled,https://247sports.com/player/josh-flowers-46128291/,,,,,,,,387,447.7
Trey Petty,2024,86,3,Jun-00,205,QB,Mississippi,Starkville,Starkville,,60,1201,28,24039,Illinois,Enrolled,https://247sports.com/player/trey-petty-46116941/,,,,,,,,458,523.6
Riley Trujillo,2024,87,3,4-Jun,215,QB,Florida,Jacksonville,Bartram Trail,,50,929,109,24060,UCF,Enrolled,https://247sports.com/player/riley-trujillo-46129690/,,,,,,,,122.5,143.4
Brendan Zurbrugg,2024,86,3,3-Jun,199,QB,Ohio,Alliance,Alliance,,66,1251,45,24026,Oklahoma,Enrolled,https://247sports.com/player/brendan-zurbrugg-46129762/,,,,,,,,970.8,1080.1
Alessio Milivojevic,2024,88,3,2-Jun,218,QB,Illinois,Wheaton,St. Francis,,41,724,22,24043,Michigan State,Enrolled,https://247sports.com/player/alessio-milivojevic-46132996/,,,,,,,,194.3,245.4
Aaron Philo,2024,87,3,1-Jun,208,QB,Georgia,Bogart,Prince Avenue Christian School,,47,926,97,24011,Georgia Tech,Enrolled,https://247sports.com/player/aaron-philo-46131230/,,,,,,,,51,57.7
Drake Lindsey,2024,89,3,5-Jun,230,QB,Arkansas,Fayetteville,Fayetteville,,23,400,6,24044,Minnesota,Enrolled,https://247sports.com/player/drake-lindsey-46132999/,,,,,,,,618.7,676.2
Ty Keyes,2024,,0,2-Jun,225,QB,Mississippi,Taylorsville,Taylorsville,,,,,24121,Louisiana Tech,Enrolled,https://247sports.com/player/ty-keyes-46050925/,,,,,,,,194.4,212.4
Jayden Bradford,2024,86,3,Jun-00,195,QB,Florida,Bradenton,IMG Academy,,59,1177,131,24138,Liberty,Enrolled,https://247sports.com/player/jayden-bradford-46115464/,,,,,,,,709.4,786.8
Julian Dugger,2024,86,3,3-Jun,207,QB,Pennsylvania,Pittsburgh,Penn Hills,,63,1247,27,24034,Pittsburgh,Enrolled,https://247sports.com/player/julian-dugger-46116846/,,,,,,,,2.1,2.8
Tim Carpenter,2024,88,3,3-Jun,235,QB,Ohio,Dayton,Trotwood-Madison,,37,578,22,24058,Tulsa,Enrolled,https://247sports.com/player/tim-carpenter-46129789/,,,,,,,,686.5,745.4
Whit Muschamp,2024,86,3,1-Jun,195,QB,Tennessee,Chattanooga,Baylor School,,57,1164,36,24107,Vanderbilt,Enrolled,https://247sports.com/player/whit-muschamp-46103172/,,,,,,,,113.1,134.6
Michael Merdinger,2024,86,3,1-Jun,205,QB,Florida,Fort Lauderdale,Cardinal Gibbons,,71,1412,155,24014,North Carolina,Enrolled,https://247sports.com/player/michael-merdinger-46118318/,,,,,,,,679,769
Tyler Aronson,2024,84,3,3-Jun,220,QB,Florida,Vero Beach,Vero Beach,,97,1910,223,24055,SMU,Enrolled,https://247sports.com/player/tyler-aronson-46109945/,,,,,,,,1040.5,1184.9
Connor Moberly,2024,86,3,4-Jun,220,QB,Iowa,Des Moines,Southeast Polk,,68,1325,13,24021,Iowa St.,Enrolled,https://247sports.com/player/connor-moberly-46135628/,,,,,,,,30.5,36.9
Karson Gordon,2024,89,3,1-Jun,180,QB,Texas,Bellaire,Episcopal,11/7/2023,26,461,69,24093,UCLA,Enrolled,https://247sports.com/player/karson-gordon-46104078/,,,,,,,,1378.8,1561.4
Darius Curry,2024,88,3,10-May,165,QB,California,Long Beach,Long Beach Poly,,42,768,55,24080,Colorado St.,Enrolled,https://247sports.com/player/darius-curry-46102664/,,,,,,,,859.7,1089.1
Evans Chuba,2024,85,3,4-Jun,220,QB,Florida,Clearwater,Clearwater Academy International,,79,1581,178,24095,Washington St.,Enrolled,https://247sports.com/player/evans-chuba-46139313/,,,,,,,,2261.2,2902.2
